Molecule_id,SMILES,total_donors,total_acceptors,architecture,molecular_weight,logp
STAC-BP-STAC,O=C(c1ccc(N2c3ccccc3C3(c4ccccc4Sc4ccccc43)c3ccccc32)cc1)c1ccc(N2c3ccccc3C3(c4ccccc4Sc4ccccc43)c3ccccc32)cc1,2,0,2D-0A,905.16,16.178599999999967
SXAC-BP-SXAC,O=C(c1ccc(N2c3ccccc3C3(c4ccccc4Oc4ccccc43)c3ccccc32)cc1)c1ccc(N2c3ccccc3C3(c4ccccc4Oc4ccccc43)c3ccccc32)cc1,2,0,2D-0A,873.0240000000001,15.460799999999965
m-DHMPA,OCc1cccc(-c2c3ccccc3c(-c3cccc(CO)c3)c3ccccc23)c1,0,0,Unknown,390.48200000000014,6.3116000000000065
SFAC-BP-SFAC,O=C(c1ccc(N2c3ccccc3C3(c4ccccc4-c4ccccc43)c3ccccc32)cc1)c1ccc(N2c3ccccc3C3(c4ccccc4-c4ccccc43)c3ccccc32)cc1,2,0,2D-0A,841.0260000000002,15.210199999999967
PBTPA,CCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c4nsnc34)ccc21,2,0,2D-0A,604.804,11.117699999999985
HDP,O=C1c2ccccc2C(=O)c2nc3c(cc(O)c4ccccc43)nc21,0,1,0D-1A,326.31100000000004,3.264000000000002
PY-TPA,CC(C)(C)c1ccc(N(c2ccc(-c3cc4nc5c6ccc(C#N)cc6c6cc(C#N)ccc6c5nc4cc3-c3cccnc3)cc2)c2ccc(C(C)(C)C)cc2)cc1,1,6,Multi-D/A,762.9610000000001,13.626559999999971
CN-TPA,CC(C)(C)c1ccc(N(c2ccc(-c3cc4nc5c6ccc(C#N)cc6c6cc(C#N)ccc6c5nc4cc3C#N)cc2)c2ccc(C(C)(C)C)cc2)cc1,1,8,Multi-D/A,710.8850000000001,12.436239999999977
DMIC-TRZ,CC1(C)CC(c2cccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)c2)C=c2[nH]c3cc4c(cc3c21)-c1ccccc1C=4,0,1,0D-1A,592.7460000000002,8.408700000000007
NyDPAc,CC1(C)c2ccccc2Nc2cccc(-c3ccc(-c4ccc5nc(-c6ccc(-c7cccc8c7C(C)(C)c7ccccc7N8)cc6)ccc5n4)cc3)c21,0,0,Unknown,696.8980000000003,13.063599999999978
