molecule,environment,method,S1_overlap,T1_overlap,S1_energy_eV,T1_energy_eV,Delta_E_ST_eV,S1_osc_strength,HOMO_LUMO_gap_eV
2PBCzPy,gas,stda,2.95e-08,-7.8e-09,4.021,3.532,0.4889999999999999,0.1445,6.857
2PBCzPy,gas,stddft,-5.67e-08,2.58e-08,3.961,3.511,0.44999999999999973,0.1508,6.857
2PBCzPy,toluene,stda,2.7e-09,-1.41e-08,3.974,3.488,0.4860000000000002,0.172,6.935
2PBCzPy,toluene,stddft,1.91e-08,-6.48e-08,3.913,3.467,0.44599999999999973,0.1413,6.935
2PCzBN,gas,stda,6.7e-09,4.63e-08,3.832,3.426,0.4059999999999997,0.7246,6.945
2PCzBN,gas,stddft,4.9e-09,-5.9e-09,3.804,3.405,0.399,0.661,6.945
2PCzBN,toluene,stda,4.47e-08,3.22e-08,3.826,3.404,0.42200000000000015,0.742,6.957
2PCzBN,toluene,stddft,4.4e-08,4.61e-08,3.794,3.383,0.41100000000000003,0.6559,6.957
2PCzBN-tPh,gas,stda,3.27e-08,-1.4e-09,3.766,3.446,0.31999999999999984,0.6166,6.655
2PCzBN-tPh,gas,stddft,-3.15e-08,-3.2e-09,3.74,3.424,0.3160000000000003,0.5681,6.655
2PCzBN-tPh,toluene,stda,-3.4e-08,5.32e-08,3.755,3.411,0.34399999999999986,0.6611,6.6739999999999995
2PCzBN-tPh,toluene,stddft,3.35e-08,-5.6e-09,3.727,3.389,0.3380000000000001,0.6087,6.6739999999999995
2PN,gas,stda,2.76e-08,-4.31e-08,2.201,2.007,0.19399999999999995,0.0926,4.683999999999999
2PN,gas,stddft,2.78e-08,1.94e-08,2.182,1.995,0.18699999999999983,0.0673,4.683999999999999
2PN,toluene,stda,4.14e-08,-5.83e-08,2.159,1.961,0.19799999999999973,0.2118,4.664
2PN,toluene,stddft,-2.37e-08,2.4e-09,2.141,1.949,0.19199999999999995,0.1833,4.664
2PS-2FPh,gas,stda,-4.21e-08,-1.91e-08,3.225,2.878,0.347,0.0318,6.687000000000001
2PS-2FPh,gas,stddft,-3.86e-08,-4.85e-08,3.184,2.85,0.3340000000000001,0.0269,6.687000000000001
2PS-2FPh,toluene,stda,-5.68e-08,-7.32e-08,3.204,2.833,0.371,0.051,6.759
2PS-2FPh,toluene,stddft,-3.83e-08,1.5e-08,3.161,2.803,0.3580000000000001,0.0432,6.759
2PXZ-OXD,gas,stda,-5.27e-08,3.44e-08,3.099,2.812,0.28700000000000037,0.8673,5.4799999999999995
2PXZ-OXD,gas,stddft,2.26e-08,-1.92e-08,3.088,2.802,0.28600000000000003,0.8117,5.4799999999999995
2PXZ-OXD,toluene,stda,-3.34e-08,-2.73e-08,3.097,2.835,0.262,0.8694,5.448999999999999
2PXZ-OXD,toluene,stddft,-9.9e-09,3.12e-08,3.087,2.826,0.2610000000000001,0.815,5.448999999999999
2PXZP,gas,stda,-1.36e-08,4.92e-08,3.076,2.741,0.33499999999999996,0.4548,5.372999999999999
2PXZP,gas,stddft,-1.02e-08,7.4e-09,3.06,2.709,0.351,0.4195,5.372999999999999
2PXZP,toluene,stda,6.87e-08,-1.018e-07,3.118,2.749,0.3689999999999998,0.0208,5.463
2PXZP,toluene,stddft,-9.6e-09,1.65e-08,3.081,2.718,0.363,0.0182,5.463
2PyCNBCz,gas,stda,-8.35e-08,4.17e-08,3.824,3.387,0.43699999999999983,1.3419,5.922000000000001
2PyCNBCz,gas,stddft,6.27e-08,4.9e-09,3.78,3.365,0.4149999999999996,1.1088,5.922000000000001
2PyCNBCz,toluene,stda,-1.8e-08,5.18e-08,3.794,3.36,0.43400000000000016,1.5588,5.761999999999999
2PyCNBCz,toluene,stddft,5.96e-08,-4.37e-08,3.759,3.336,0.42300000000000004,1.3444,5.761999999999999
2PyCNICz,gas,stda,7.5e-09,-3.7e-08,3.743,3.366,0.3769999999999998,0.2141,5.943
2PyCNICz,gas,stddft,7.58e-08,-1.57e-08,3.692,3.34,0.3520000000000003,0.2003,5.943
2PyCNICz,toluene,stda,-2.61e-08,-3.67e-08,3.726,3.35,0.3759999999999999,0.1406,5.766
2PyCNICz,toluene,stddft,-3.2e-09,6.13e-08,3.679,3.324,0.355,0.1296,5.766
2SBFN,gas,stda,-9.05e-08,-6.05e-08,4.207,3.39,0.8169999999999997,0.048,7.461
2SBFN,gas,stddft,-1.033e-07,4.54e-08,4.172,3.338,0.8339999999999996,0.0886,7.461
