molecule,environment,method,S1_energy_eV,S1_wavelength_nm,S1_osc_strength,T1_energy_eV,T1_wavelength_nm,Delta_E_ST_eV,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV
2F,toluene,stddft,3.254,381.0,0.1087,2.862,433.2,0.3919999999999999,-13.071,-7.962,5.109
2H-Qz,gas,stda,3.098,400.2,0.0157,2.737,453.0,0.36099999999999977,-13.172,-7.958,5.214
2H-Qz,gas,stddft,3.06,405.2,0.0133,2.706,458.2,0.3540000000000001,-13.172,-7.958,5.214
2H-Qz,toluene,stda,3.105,399.3,0.0151,2.741,452.3,0.3639999999999999,-13.12,-7.931,5.188999999999999
2H-Qz,toluene,stddft,3.066,404.3,0.0127,2.71,457.5,0.35599999999999987,-13.12,-7.931,5.188999999999999
2ICz-OXD,gas,stda,3.804,325.9,0.3227,3.4,364.7,0.4039999999999999,-13.979,-7.649,6.329999999999999
2ICz-OXD,gas,stddft,3.753,330.3,0.2991,3.376,367.3,0.3770000000000002,-13.979,-7.649,6.329999999999999
2ICz-OXD,toluene,stda,3.796,326.7,0.3122,3.371,367.8,0.4249999999999998,-13.882,-7.665,6.217
2ICz-OXD,toluene,stddft,3.744,331.1,0.2901,3.347,370.4,0.39700000000000024,-13.882,-7.665,6.217
2MeCZ-TRZ,gas,stda,3.909,317.2,0.6203,3.489,355.3,0.41999999999999993,-14.104,-7.674,6.429999999999999
2MeCZ-TRZ,gas,stddft,3.86,321.2,0.4711,3.466,357.7,0.3939999999999997,-14.104,-7.674,6.429999999999999
2MeCZ-TRZ,toluene,stda,3.934,315.2,0.7384,3.488,355.5,0.4460000000000002,-14.031,-7.575,6.456
2MeCZ-TRZ,toluene,stddft,3.886,319.1,0.576,3.466,357.8,0.41999999999999993,-14.031,-7.575,6.456
2Mi2SB,gas,stda,4.695,264.1,0.1294,4.176,296.9,0.5190000000000001,-14.919,-6.698,8.221
2Mi2SB,gas,stddft,4.649,266.7,0.1174,4.149,298.8,0.5,-14.919,-6.698,8.221
2Mi2SB,toluene,stda,4.683,264.8,0.1347,4.115,301.3,0.5679999999999996,-14.687,-6.512,8.175
2Mi2SB,toluene,stddft,4.632,267.7,0.1234,4.089,303.2,0.5429999999999993,-14.687,-6.512,8.175
2PBCzPy,gas,stda,4.021,308.4,0.1445,3.532,351.0,0.4889999999999999,-13.906,-7.049,6.857
2PBCzPy,gas,stddft,3.961,313.0,0.1508,3.511,353.1,0.44999999999999973,-13.906,-7.049,6.857
2PBCzPy,toluene,stda,3.974,312.0,0.172,3.488,355.4,0.4860000000000002,-13.786,-6.851,6.935
2PBCzPy,toluene,stddft,3.913,316.9,0.1413,3.467,357.6,0.44599999999999973,-13.786,-6.851,6.935
2PCzBN,gas,stda,3.832,323.5,0.7246,3.426,361.9,0.4059999999999997,-14.218,-7.273,6.945
2PCzBN,gas,stddft,3.804,325.9,0.661,3.405,364.2,0.399,-14.218,-7.273,6.945
2PCzBN,toluene,stda,3.826,324.0,0.742,3.404,364.2,0.42200000000000015,-14.096,-7.139,6.957
2PCzBN,toluene,stddft,3.794,326.8,0.6559,3.383,366.5,0.41100000000000003,-14.096,-7.139,6.957
2PCzBN-tPh,gas,stda,3.766,329.2,0.6166,3.446,359.8,0.31999999999999984,-14.195,-7.54,6.655
2PCzBN-tPh,gas,stddft,3.74,331.5,0.5681,3.424,362.1,0.3160000000000003,-14.195,-7.54,6.655
