molecule_id,SMILES_canonical,source,MW,MW,LogP,n_aromatic_rings,n_aromatic_rings,n_heteroatoms,n_heteroatoms,n_rotatable_bonds,n_rotatable_bonds,n_hbd,n_hba,tpsa,n_rings,n_atoms
MOL_000088,Nc1ccc2c(N)c3ccccc3nc2c1,PubChem_filtered,209.25,209.25,2.55,3.0,3,3.0,3,0.0,0,2,3,64.93,3,16
MOL_000089,Cc1ccc2nc3c(ccc4ccccc43)c(C)c2c1,PubChem_filtered,257.34,257.34,5.16,4.0,4,1.0,1,0.0,0,0,1,12.89,4,20
MOL_000090,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12,PubChem_filtered,312.33,312.33,3.68,5.0,5,4.0,4,0.0,0,2,2,65.72,5,24
MOL_000091,N#CC(CCN1CCC2(CC1)C(=O)NCN2c1ccccc1)(c1ccccc1)c1ccccc1,PubChem_filtered,450.59,450.59,4.31,3.0,3,5.0,5,6.0,6,1,4,59.37,5,34
MOL_000092,C[NH+](C)CCC[NH2+]c1c2ccccc2nc2ccccc12.[Cl-].[Cl-],PubChem_filtered,352.31,352.31,-4.87,3.0,3,3.0,3,5.0,5,2,1,33.94,3,23
MOL_000093,CN(C)CCCNc1c2ccccc2nc2ccccc12,PubChem_filtered,279.39,279.39,3.75,3.0,3,3.0,3,5.0,5,1,3,28.16,3,21
MOL_000094,Nc1ccc([NH2+]c2ccc(N)c3c2C(=O)c2ccccc2C3=O)c2c1C(=O)c1ccccc1C2=O.O=S([O-])[O-].[Na+],PubChem_filtered,563.52,563.52,-1.07,4.0,4,11.0,11,2.0,2,3,9,200.12,6,40
MOL_000095,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)CCN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,PubChem_filtered,866.97,866.97,1.27,3.0,3,18.0,18,7.0,7,4,12,227.96,6,63
MOL_000096,Cc1c2ccc3ccccc3c2nc2c1cc1ccc3cccc4ccc2c1c34,PubChem_filtered,367.45,367.45,7.75,7.0,7,1.0,1,0.0,0,0,1,12.89,7,29
MOL_000097,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,PubChem_filtered,343.38,343.38,2.4,3.0,3,7.0,7,3.0,3,4,6,131.69,3,25
MOL_000098,CCc1cccc(CC)c1N(C#N)c1c(CC)cccc1CC,PubChem_filtered,306.45,306.45,5.56,2.0,2,2.0,2,6.0,6,0,2,27.03,2,23
MOL_000099,Cc1ccc2c(C)c3ccc4ccccc4c3nc2c1,PubChem_filtered,257.34,257.34,5.16,4.0,4,1.0,1,0.0,0,0,1,12.89,4,20
MOL_000100,Nc1c(S(=O)(=O)[O-])cc(Nc2cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c2)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],PubChem_filtered,626.55,626.55,-5.05,3.0,3,16.0,16,8.0,8,2,13,229.96,4,40
MOL_000101,Nc1c(S(=O)(=O)O)cc(Nc2cccc(S(=O)(=O)CCOS(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O,PubChem_filtered,582.59,582.59,1.63,3.0,3,16.0,16,8.0,8,4,11,224.3,4,38
MOL_000102,CC(=O)N(C)c1ccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc1,PubChem_filtered,465.49,465.49,3.02,3.0,3,10.0,10,4.0,4,3,7,146.87,4,33
MOL_000103,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[Cl-],PubChem_filtered,388.94,388.94,2.6,3.0,3,2.0,2,4.0,4,0,1,7.12,4,28
MOL_000104,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,PubChem_filtered,353.49,353.49,5.6,3.0,3,2.0,2,4.0,4,0,1,7.12,4,27
MOL_000105,CCCCCCOc1ccc(-c2c3ccccc3[n+](C)c3ccccc23)cc1.[Cl-],PubChem_filtered,405.97,405.97,3.45,4.0,4,2.0,2,7.0,7,0,1,13.11,4,29
MOL_000106,CCCCCCOc1ccc(-c2c3ccccc3[n+](C)c3ccccc23)cc1,PubChem_filtered,370.52,370.52,6.44,4.0,4,2.0,2,7.0,7,0,1,13.11,4,28
MOL_000107,O=c1c2ccccc2c(=O)c2c1ccc1c3ccc4c(O)c5ccccc5c5ccc(nc12)c3c45,PubChem_filtered,449.47,449.47,6.46,8.0,8,4.0,4,0.0,0,1,4,67.26,8,35
MOL_000108,COc1ccc2nc3ccccc3cc2c1,PubChem_filtered,209.25,209.25,3.4,3.0,3,2.0,2,1.0,1,0,2,22.12,3,16
MOL_000109,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,PubChem_filtered,270.34,270.33,5.13,4.0,4,2.0,2,2.0,2,1,2,24.92,4,21
MOL_000110,NNc1c2ccccc2nc2ccccc12,PubChem_filtered,209.25,209.25,2.67,3.0,3,3.0,3,1.0,1,2,3,50.94,3,16
MOL_000111,Nc1ccc2nc3cc(N)ccc3cc2c1,PubChem_filtered,209.25,209.25,2.55,3.0,3,3.0,3,0.0,0,2,3,64.93,3,16
MOL_000112,Nc1c2ccccc2nc2cc(Cl)ccc12,PubChem_filtered,228.68,228.68,3.62,3.0,3,2.0,2,0.0,0,1,2,38.91,3,16
MOL_000113,COc1ccc2nc3ccccc3c(N)c2c1,PubChem_filtered,224.26,224.26,2.98,3.0,3,3.0,3,1.0,1,1,3,48.14,3,17
MOL_000114,CN1C(=O)CN=C(c2ccccc2)c2cc(C#N)ccc21,PubChem_filtered,275.31,275.31,2.37,2.0,2,4.0,4,1.0,1,0,3,56.46,3,21
MOL_000115,Cc1ccc2ccc3cc4ccccc4nc3c2c1,PubChem_filtered,243.31,243.31,4.85,4.0,4,1.0,1,0.0,0,0,1,12.89,4,19
MOL_000116,COc1ccc2nc3cc(Cl)ccc3c(N)c2c1,PubChem_filtered,258.71,258.71,3.63,3.0,3,3.0,3,1.0,1,1,3,48.14,3,18
MOL_000117,Cc1cccc2c(N)c3ccccc3nc12,PubChem_filtered,208.26,208.26,3.28,3.0,3,2.0,2,0.0,0,1,2,38.91,3,16
MOL_000118,CC[n+]1c(C=Cc2ccc(N3CCCC3)cc2)cccc1C=Cc1ccc(N2CCCC2)cc1.[I-],PubChem_filtered,577.55,577.55,3.54,3.0,3,3.0,3,7.0,7,0,2,10.36,5,35
MOL_000119,CC[n+]1c(C=Cc2ccc(N3CCCC3)cc2)cccc1C=Cc1ccc(N2CCCC2)cc1,PubChem_filtered,450.65,450.65,6.54,3.0,3,3.0,3,7.0,7,0,2,10.36,5,34
MOL_000120,CC[NH+](CC)CCN1C(=O)CN=C(c2ccccn2)c2cc(Br)ccc21.[Cl-],PubChem_filtered,451.8,451.8,-1.04,2.0,2,5.0,5,6.0,6,1,3,50.0,3,27
MOL_000121,CCN(CC)CCN1C(=O)CN=C(c2ccccn2)c2cc(Br)ccc21,PubChem_filtered,415.34,415.34,3.37,2.0,2,5.0,5,6.0,6,0,4,48.8,3,26
MOL_000122,COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1.Cl.Cl,PubChem_filtered,541.78,541.78,7.25,3.0,3,4.0,4,11.0,11,1,4,37.39,3,32
MOL_000123,COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1,PubChem_filtered,468.86,468.86,6.41,3.0,3,4.0,4,11.0,11,1,4,37.39,3,30
MOL_000124,CC[NH+](CCCl)CC[NH2+]c1c2ccccc2nc2c1ccc1ccccc12.[Cl-].[Cl-],PubChem_filtered,450.84,450.84,-3.11,4.0,4,3.0,3,7.0,7,2,1,33.94,4,29
MOL_000125,CCN(CCCl)CCNc1c2ccccc2nc2c1ccc1ccccc12,PubChem_filtered,377.92,377.92,5.51,4.0,4,3.0,3,7.0,7,1,3,28.16,4,27
MOL_000126,Nc1ccc(Nc2ccccc2)c2c1C(=O)c1ccccc1C2=O,PubChem_filtered,314.34,314.34,3.79,3.0,3,4.0,4,2.0,2,2,4,72.19,4,24
MOL_000127,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)[O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1.[Na+].[Na+],PubChem_filtered,622.59,622.59,-1.62,4.0,4,12.0,12,6.0,6,2,10,172.6,5,42
MOL_000128,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)O)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)O)c1,PubChem_filtered,578.62,578.62,5.06,4.0,4,12.0,12,6.0,6,4,8,166.94,5,40
MOL_000129,C[NH+](C)CCCN1C(=O)C[NH+]=C(c2ccccn2)c2cc(Br)ccc21.[Cl-].[Cl-],PubChem_filtered,474.23,474.23,-6.35,2.0,2,5.0,5,5.0,5,2,2,51.61,3,27
MOL_000130,CN(C)CCCN1C(=O)C[NH+]=C(c2ccccn2)c2cc(Br)ccc21,PubChem_filtered,402.32,402.32,1.06,2.0,2,5.0,5,5.0,5,1,3,50.41,3,25
