molecule_id,SMILES_canonical,source,MW,MW.1,LogP,n_aromatic_rings,n_aromatic_rings.1,n_heteroatoms,n_heteroatoms.1,n_rotatable_bonds,n_rotatable_bonds.1,n_hbd,n_hba,tpsa,n_rings,n_atoms,predicted_delta_e,tadf_score,selected_for_detailed_calc
MOL_009770,CCN(C(=O)CSc1nc2nc(C)cc(C)n2n1)c1ccccc1,PubChem_filtered,341.44,341.44,2.89,3.0,3,7.0,7,5.0,5,0,5,63.39,3,24,0.12644685714285708,0.9338828571428572,True
MOL_005719,CCS(=O)(=O)c1c2cc(OC)ccc2nc2ccc(OC)cc12,PubChem_filtered,331.39,331.39,3.2,3.0,3,6.0,6,4.0,4,0,5,65.49,3,23,0.12652399999999991,0.9336900000000001,True
MOL_000241,CN(C)CCn1c2ccccc2c(=O)c2c([N+](=O)[O-])cccc21,PubChem_filtered,311.34,311.34,2.62,3.0,3,6.0,6,4.0,4,0,4,68.38,3,23,0.12668685714285716,0.9332828571428571,True
MOL_013332,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccn4)ccc1c23,PubChem_filtered,353.4,353.4,3.02,3.0,3,7.0,7,4.0,4,1,4,79.37,4,25,0.12669714285714284,0.9332571428571428,True
MOL_005271,COC(=O)CCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,PubChem_filtered,325.32,325.32,3.27,3.0,3,7.0,7,5.0,5,1,6,94.36,3,24,0.1268834285714286,0.9327914285714285,True
MOL_009658,Cc1cc(Nc2ccc(N(C)C)cc2)n2ncnc2n1,PubChem_filtered,268.32,268.32,2.24,3.0,3,6.0,6,3.0,3,1,5,58.35,3,20,0.12691199999999997,0.93272,True
MOL_008547,CCOc1c(OC)c(OC)c(OC)c2c(=O)c3ccccc3n(C)c12,PubChem_filtered,343.38,343.38,3.12,3.0,3,6.0,6,5.0,5,0,5,58.92,3,25,0.12697942857142852,0.9325514285714287,True
MOL_008546,CCOc1c(OC)c(OC)c(OC)c2c1c(=O)c1ccccc1n2C,PubChem_filtered,343.38,343.38,3.12,3.0,3,6.0,6,5.0,5,0,5,58.92,3,25,0.12697942857142852,0.9325514285714287,True
MOL_009726,COc1ccc(N(C)C(=O)Nc2ccc3nsnc3c2)cc1,PubChem_filtered,314.37,314.37,3.37,3.0,3,7.0,7,3.0,3,1,5,67.35,3,22,0.12700628571428568,0.9324842857142858,True
MOL_010798,O=C(Nc1cccc(N2C(=O)c3ccccc3C2=O)c1)c1cccnc1,PubChem_filtered,343.34,343.34,3.13,3.0,3,6.0,6,3.0,3,1,4,79.37,4,26,0.1271725714285714,0.9320685714285714,True
MOL_013375,O=C(Nc1ccccn1)c1ccc2c(c1)C(=O)N(c1ccccc1)C2=O,PubChem_filtered,343.34,343.34,3.13,3.0,3,6.0,6,3.0,3,1,4,79.37,4,26,0.1271725714285714,0.9320685714285714,True
MOL_010440,O=C(Nc1ccc(N2C(=O)c3ccccc3C2=O)cc1)c1cccnc1,PubChem_filtered,343.34,343.34,3.13,3.0,3,6.0,6,3.0,3,1,4,79.37,4,26,0.1271725714285714,0.9320685714285714,True
MOL_010797,O=C(Nc1cccc2c1C(=O)N(c1ccccc1)C2=O)c1cccnc1,PubChem_filtered,343.34,343.34,3.13,3.0,3,6.0,6,3.0,3,1,4,79.37,4,26,0.1271725714285714,0.9320685714285714,True
MOL_004684,COc1cc(OC)c2c(=O)c3ccc([N+](=O)[O-])cc3n(C)c2c1,PubChem_filtered,314.3,314.3,2.62,3.0,3,7.0,7,3.0,3,0,5,83.6,3,23,0.1271942857142857,0.9320142857142857,True
MOL_004685,COc1cc(OC)c2c(=O)c3cccc([N+](=O)[O-])c3n(C)c2c1,PubChem_filtered,314.3,314.3,2.62,3.0,3,7.0,7,3.0,3,0,5,83.6,3,23,0.1271942857142857,0.9320142857142857,True
MOL_005044,COc1cc(OC)c2c(=O)c3c([N+](=O)[O-])cccc3n(C)c2c1,PubChem_filtered,314.3,314.3,2.62,3.0,3,7.0,7,3.0,3,0,5,83.6,3,23,0.1271942857142857,0.9320142857142857,True
MOL_008935,Cc1cc(N2CCN(c3ccccc3)CC2)nc(-n2nc(C)cc2C)n1,PubChem_filtered,348.45,348.45,2.91,3.0,3,6.0,6,3.0,3,0,5,50.08,4,26,0.12724857142857138,0.9318785714285714,True
MOL_004387,CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccccc2)c(N)c1,PubChem_filtered,348.45,348.45,3.09,3.0,3,6.0,6,5.0,5,3,6,107.08,3,26,0.12724857142857138,0.9318785714285714,True
MOL_015554,Cc1sc2ncn(CC(=O)N3CCCc4ccccc43)c(=O)c2c1C,PubChem_filtered,353.45,353.45,3.05,3.0,3,6.0,6,2.0,2,0,4,55.2,4,25,0.1273057142857143,0.9317357142857142,True
