CID,SMILES,MW,n_aromatic_rings,n_heteroatoms,n_rotatable_bonds,has_donor,has_acceptor
26592,Nc1c2ccccc2nc2cc([N+](=O)[O-])ccc12,239.23,3,5,1,True,True
26670,Clc1ccccc1[NH2+]c1c2ccccc2nc2ccccc12.[Cl-],341.24,4,2,2,True,True
26671,Clc1ccccc1Nc1c2ccccc2nc2ccccc12,304.78,4,2,2,True,True
26672,Brc1ccccc1[NH2+]c1c2ccccc2nc2ccccc12.[Cl-],385.69,4,2,2,True,True
26673,Brc1ccccc1Nc1c2ccccc2nc2ccccc12,349.23,4,2,2,True,True
26935,c1ccc(CCN2CCc3ccccc32)nc1,224.31,2,2,3,True,True
27647,Clc1nc(Cl)nc(N(c2ccccc2)c2ccccc2)n1,317.18,3,4,3,True,True
27794,CCC(C)c1c2ccc(N(C)C)cc2nc2cc(N(C)C)ccc12,321.47,3,3,4,True,True
27795,CN(C)c1ccc2c(-c3ccccc3)c3ccc(N(C)C)cc3nc2c1,341.46,4,3,3,True,True
27935,C1=C[NH+](CCc2ccncc2)c2ccccc21.[Cl-],258.75,2,2,3,True,True
28240,COc1ccc2nc3cc(Cl)ccc3c([NH2+]CCC[NH2+]CCCl)c2c1.[Cl-].[Cl-],451.23,3,4,8,True,True
28241,COc1ccc2nc3cc(Cl)ccc3c(NCCCNCCCl)c2c1,378.3,3,4,8,True,True
28244,CC[NH+](CC)CC[NH2+]c1c2ccccc2nc2cccc([N+](=O)[O-])c12.[Cl-].[Cl-],411.33,3,6,7,True,True
28245,CCN(CC)CCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,338.41,3,6,7,True,True
28246,CC[NH+](CC)CCC[NH2+]c1c2ccccc2nc2cccc([N+](=O)[O-])c12.[Cl-].[Cl-],425.36,3,6,8,True,True
28247,CCN(CC)CCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,352.44,3,6,8,True,True
28414,CCCc1cc2c(=O)c(C(=O)OC)c[nH]c2cc1N(CC)CC,316.4,2,5,6,True,True
28769,[Cl-].c1ccc2[nH+]c3ccccc3cc2c1,215.68,3,1,0,True,True
29611,Cc1c[n+]([O-])cc(C)c1N=Nc1ccc(N(C)C)cc1,270.34,2,5,3,True,True
29623,Cc1c[n+]([O-])c(C)cc1N=Nc1ccc(N(C)C)cc1,270.34,2,5,3,True,True
29929,C[NH+](C)CCC[NH2+]c1c2ccccc2[n+]([O-])c2cccc([N+](=O)[O-])c12.[Cl-].[Cl-],413.31,3,7,6,True,True
29930,CN(C)CCCN=c1c2ccccc2n(O)c2cccc([N+](=O)[O-])c12,340.38,3,7,5,True,True
30089,c1ccc2c(NCCN3CCOCC3)c3ccccc3nc2c1,307.4,3,4,4,True,True
30102,CCOc1ccc2nc3cc([N+](=O)[O-])ccc3c(N)c2c1,283.29,3,6,3,True,True
30718,CN(C)c1ccc2cc3ccc(N(C)C)cc3[n+](C)c2c1,280.4,3,3,2,True,True
30892,c1ccc2c(NCCCCCCCCCCNc3c4ccccc4nc4ccccc34)c3ccccc3nc2c1,526.73,6,4,13,True,True
31009,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1Cl.[Na+].[Na+],567.3,3,13,9,True,True
31010,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Cl,523.34,3,13,9,True,True
31416,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3)c3c2C(=O)c2ccccc2C3=O)cc1,418.5,4,4,4,True,True
31417,O=C(Nc1cccc2c1C(=O)c1c(Nc3cccc4c3C(=O)c3c(NC(=O)c5ccccc5)cccc3C4=O)cccc1C2=O)c1ccccc1,667.68,6,9,6,True,True
